Unnamed: 0,target,generated_val
823,"Answer a `services` related question
",# Add missing `kubectl expose` command
824,"build: disable ascendex
",# ascendex: skip 502 Gateway Time-out
825,"🔧 Update sponsors, add Codacy
🔧 Update sponsors, add Codacy",# 📈 Add Codacy as a sponsor📈 Add Codacy as a sponsor
826,"Add H100 workflow and status badge.
Adds H100 workflow for unit tests and a status badge showing the status from the action on the `master` branch.",# Add H100 workflow
827,"fix bug: value not found
ubuntu scan ip error",# fix bug in proxy_handler.py
828,"multilang.sh
There's a few things that aren't perfect yet, but I think we should start using something like this to test all the languages at once
- [x] only works in bash because of process substitution, and not sh currently
- [x] would like to get rid of the `-a` argument, and just accept the rest of the arguments that aren't next to a letter
- [ ] would make the node, php, and python output match more exactly line by line (but that wouldn't be a part of this script)

for methods that return tables, 
- [x] python and php dont display a table
- [x] `column: line too long` error with `fetchMarkets`

-----------

```
% bash test.bash -a ""binance fetchTicker XRP/USDT""
2022-03-12T02:12:42.951Z                               PHP v8.1.3                                       Python v3.9.5
Node.js: v14.17.0                                      CCXT v1.75.87                                    CCXT v1.75.87
CCXT v1.75.87                                          binance->fetchTicker(XRP/USDT)                   {'ask': 0.8397,
binance.fetchTicker (XRP/USDT)                         Array                                             'askVolume': 11016.0,
2022-03-12T02:12:44.659Z iteration 0 passed in 641 ms  (                                                 'average': 0.7841,
    [symbol] => XRP/USDT                                'baseVolume': 652472355.0,
{                                                          [timestamp] => 1647051167504                  'bid': 0.8396,
  symbol: 'XRP/USDT',                                      [datetime] => 2022-03-12T02:12:47.504Z        'bidVolume': 10160.0,
  timestamp: 1647051164295,                                [high] => 0.849                               'change': 0.1112,
  datetime: '2022-03-12T02:12:44.295Z',                    [low] => 0.725                                'close': 0.8397,
  high: 0.849,                                             [bid] => 0.8399                               'datetime': '2022-03-12T02:12:45.891Z',
  low: 0.725,                                              [bidVolume] => 21263                          'high': 0.849,
  bid: 0.8396,                                             [ask] => 0.84                                 'info': {'askPrice': '0.83970000',
  bidVolume: 12076,                                        [askVolume] => 1598                                    'askQty': '11016.00000000',
  ask: 0.8397,                                             [vwap] => 0.77904089                                   'bidPrice': '0.83960000',
  askVolume: 9047,                                         [open] => 0.7285                                       'bidQty': '10160.00000000',
  vwap: 0.77903801,                                        [close] => 0.8399                                      'closeTime': '1647051165891',
  open: 0.7285,                                            [last] => 0.8399                                       'count': '660132',
  close: 0.8396,                                           [previousClose] => 0.72850000                          'firstId': '428019321',
  last: 0.8396,                                            [change] => 0.1114                                     'highPrice': '0.84900000',
  previousClose: '0.72850000',                             [percentage] => 15.292                                 'lastId': '428679452',
  change: 0.1111,                                          [average] => 0.7842                                    'lastPrice': '0.83970000',
  percentage: 15.251,                                      [baseVolume] => 652493015                              'lastQty': '16.00000000',
  average: 0.78405,                                        [quoteVolume] => 508318740.7644                        'lowPrice': '0.72500000',
  baseVolume: 652475266,                                   [info] => Array                                        'openPrice': '0.72850000',
  quoteVolume: 508303035.8246,                                 (                                                  'openTime': '1646964765891',
  info: {                                                          [symbol] => XRPUSDT                            'prevClosePrice': '0.72860000',
    symbol: 'XRPUSDT',                                             [priceChange] => 0.11140000                    'priceChange': '0.11120000',
    priceChange: '0.11110000',                                     [priceChangePercent] => 15.292                 'priceChangePercent': '15.264',
    priceChangePercent: '15.251',                                  [weightedAvgPrice] => 0.77904089               'quoteVolume': '508301025.68420000',
    weightedAvgPrice: '0.77903801',                                [prevClosePrice] => 0.72850000                 'symbol': 'XRPUSDT',
    prevClosePrice: '0.72850000',                                  [lastPrice] => 0.83990000                      'volume': '652472355.00000000',
    lastPrice: '0.83960000',                                       [lastQty] => 6428.00000000                     'weightedAvgPrice': '0.77903841'},
    lastQty: '51.00000000',                                        [bidPrice] => 0.83990000              'last': 0.8397,
    bidPrice: '0.83960000',                                        [bidQty] => 21263.00000000            'low': 0.725,
    bidQty: '12076.00000000',                                      [askPrice] => 0.84000000              'open': 0.7285,
    askPrice: '0.83970000',                                        [askQty] => 1598.00000000             'percentage': 15.264,
    askQty: '9047.00000000',                                       [openPrice] => 0.72850000             'previousClose': '0.72860000',
    openPrice: '0.72850000',                                       [highPrice] => 0.84900000             'quoteVolume': 508301025.6842,
    highPrice: '0.84900000',                                       [lowPrice] => 0.72500000              'symbol': 'XRP/USDT',
    lowPrice: '0.72500000',                                        [volume] => 652493015.00000000        'timestamp': 1647051165891,
    volume: '652475266.00000000',                                  [quoteVolume] => 508318740.76440000   'vwap': 0.77903841}
    quoteVolume: '508303035.82460000',                             [openTime] => 1646964767504
    openTime: '1646964764295',                                     [closeTime] => 1647051167504
    closeTime: '1647051164295',                                    [firstId] => 428019326
    firstId: '428019313',                                          [lastId] => 428679470
    lastId: '428679448',                                           [count] => 660145
    count: '660136'                                            )
  }
}                                                      )
```",# Add multilang cli
829,"New features for CodeParrot training script
This PR adds some features to CodeParrot training script.

- Add TFLOPS to logging
- Use Accelerate checkpointing and tracking for Wandb and Tensorborad
- Fix gradient accumulation for DDP (https://github.com/huggingface/accelerate/pull/106)
- Scale loss approprietly for the last batch
- Fix typo in the README

cc @lvwerra @LysandreJik ",# [CodeParrot] Add resume from checkpoint
830,"Update improve_query.md
",# Improve query
831,"add now required `-lcurand` to solve `undefined symbol: curandCreateGenerator`
This is needed with pip installed torch>=1.11 and when using pre-building

It fixes:

```
$ python -c ""import deepspeed; deepspeed.ops.op_builder.CPUAdamBuilder().load()""
Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
  File ""/mnt/nvme0/code/github/00optimize/deepspeed/deepspeed/ops/op_builder/builder.py"", line 461, in load
    return importlib.import_module(self.absolute_name())
  File ""/home/stas/anaconda3/envs/py38-pt112/lib/python3.8/importlib/__init__.py"", line 127, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 1014, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 991, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 975, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 657, in _load_unlocked
  File ""<frozen importlib._bootstrap>"", line 556, in module_from_spec
  File ""<frozen importlib._bootstrap_external>"", line 1166, in create_module
  File ""<frozen importlib._bootstrap>"", line 219, in _call_with_frames_removed
ImportError: /mnt/nvme0/code/github/00optimize/deepspeed/deepspeed/ops/adam/cpu_adam_op.cpython-38-x86_64-linux-gnu.so: undefined symbol: curandCreateGenerator
```
which I think is the cause of:
```
'DeepSpeedCPUAdam' object has no attribute 'ds_opt_adam'
```

Fixes: https://github.com/microsoft/DeepSpeed/issues/1846 (for real this time)

@jeffra ",# [cpu_adam] add curand to libraries_args
832,"stricter cpplint checks
Now, allowing the [build/c++11] and [build/class] cpplint categories does not find issues anymore, so I see no reason to ignore these categories in the travis checks.
",# Fix Makefile.in
833,"[naver] Support tv.naver.com links
### Before submitting a *pull request* make sure you have:
- [x] At least skimmed through [adding new extractor tutorial](https://github.com/rg3/youtube-dl#adding-support-for-a-new-site) and [youtube-dl coding conventions](https://github.com/rg3/youtube-dl#youtube-dl-coding-conventions) sections
- [x] [Searched](https://github.com/rg3/youtube-dl/search?q=is%3Apr&type=Issues) the bugtracker for similar pull requests

### In order to be accepted and merged into youtube-dl each piece of code must be in public domain or released under [Unlicense](http://unlicense.org/). Check one of the following options:
- [x] I am the original author of this code and I am willing to release it under [Unlicense](http://unlicense.org/)
- [ ] I am not the original author of this code but it is in public domain or released under [Unlicense](http://unlicense.org/) (provide reliable evidence)

### What is the purpose of your *pull request*?
- [x] Bug fix
- [ ] Improvement
- [ ] New extractor
- [ ] New feature

---

### Description of your *pull request* and other information

Naver switched to `tv.naver.com` links (also redirects from `tvcast.naver.com` to `tv.`).
Example link: http://tv.naver.com/v/1379289",# [naver] fix extraction
834,"manager.py broadcast process states
<!-- Please copy and paste the relevant template -->

<!--- ***** Template: Car bug fix *****

**Description** [](A description of the bug and the fix. Also link any relevant issues.)

**Verification** [](Explain how you tested this bug fix.)

**Route**
Route: [a route with the bug fix]

-->

<!--- ***** Template: Bug fix *****

**Description** [](A description of the bug and the fix. Also link any relevant issues.)

**Verification** [](Explain how you tested this bug fix.)

-->

<!--- ***** Template: Car port *****

**Checklist**
- [ ] added to README
- [ ] test route added to [test_car_models](../../selfdrive/test/test_car_models.py)
- [ ] route with openpilot:
- [ ] route with stock system:

-->

<!--- ***** Template: Refactor *****

**Description** [](A description of the refactor, including the goals it accomplishes.)

**Verification** [](Explain how you tested the refactor for regressions.)

-->
",# managerState
835,"Better error message when view return type is not supported
Before, returning a `bool` from a route caused the error

```
[2019-05-31 10:08:42,216] ERROR in app: Exception on / [GET]
Traceback (most recent call last):
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 2070, in make_response
    rv = self.response_class.force_type(rv, request.environ)
  File ""/Users/johnzeringue/Documents/ts-open/flask/env/lib/python3.7/site-packages/werkzeug/wrappers/base_response.py"", line 269, in force_type
    response = BaseResponse(*_run_wsgi_app(response, environ))
  File ""/Users/johnzeringue/Documents/ts-open/flask/env/lib/python3.7/site-packages/werkzeug/wrappers/base_response.py"", line 26, in _run_wsgi_app
    return _run_wsgi_app(*args)
  File ""/Users/johnzeringue/Documents/ts-open/flask/env/lib/python3.7/site-packages/werkzeug/test.py"", line 1119, in run_wsgi_app
    app_rv = app(environ, start_response)
TypeError: 'bool' object is not callable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 2393, in wsgi_app
    response = self.full_dispatch_request()
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 1906, in full_dispatch_request
    return self.finalize_request(rv)
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 1921, in finalize_request
    response = self.make_response(rv)
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 2078, in make_response
    reraise(TypeError, new_error, sys.exc_info()[2])
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/_compat.py"", line 39, in reraise
    raise value.with_traceback(tb)
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 2070, in make_response
    rv = self.response_class.force_type(rv, request.environ)
  File ""/Users/johnzeringue/Documents/ts-open/flask/env/lib/python3.7/site-packages/werkzeug/wrappers/base_response.py"", line 269, in force_type
    response = BaseResponse(*_run_wsgi_app(response, environ))
  File ""/Users/johnzeringue/Documents/ts-open/flask/env/lib/python3.7/site-packages/werkzeug/wrappers/base_response.py"", line 26, in _run_wsgi_app
    return _run_wsgi_app(*args)
  File ""/Users/johnzeringue/Documents/ts-open/flask/env/lib/python3.7/site-packages/werkzeug/test.py"", line 1119, in run_wsgi_app
    app_rv = app(environ, start_response)
TypeError: 'bool' object is not callable
The view function did not return a valid response. The return type must be a string, tuple, Response instance, or WSGI callable, but it was a bool.
```

Now, it returns the more readable

```
[2019-05-31 10:36:19,500] ERROR in app: Exception on / [GET]
Traceback (most recent call last):
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 2400, in wsgi_app
    response = self.full_dispatch_request()
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 1907, in full_dispatch_request
    return self.finalize_request(rv)
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 1922, in finalize_request
    response = self.make_response(rv)
  File ""/Users/johnzeringue/Documents/ts-open/flask/flask/app.py"", line 2085, in make_response
    "" {rv.__class__.__name__}."".format(rv=rv))
TypeError: The view function did not return a valid response. The return type must be a string, dict, tuple, Response instance, or WSGI callable, but it was a bool.
```

Fixes #3214

<!--
Commit checklist:

* add tests that fail without the patch
* ensure all tests pass with ``pytest``
* add documentation to the relevant docstrings or pages
* add ``versionadded`` or ``versionchanged`` directives to relevant docstrings
* add a changelog entry if this patch changes code

Tests, coverage, and docs will be run automatically when you submit the pull
request, but running them yourself can save time.
-->
",# Show a better error message when the view return type is not supportedFixes #3214
836,"Feature/button-to-close-flow-details-view
#### Description

Added a button to close the flow details panel, as discussed in issue #6725. It could be useful to have a button to immediately close the section. This is a preliminary idea, as I didn't want to alter the design significantly. What are your thoughts?

https://github.com/mitmproxy/mitmproxy/assets/100372313/732b29ac-6fff-4eff-be7b-98e4460a93a9


#### Checklist

 - [x] I have updated tests where applicable.
 - [x] I have added an entry to the CHANGELOG.
",# Add button to close flow details panel
837,"Fix a serious doc issue
Fix a serious doc issue",# fix doc of detection
838,"Update tox.ini to use py37,py38 instead of ci37,ci38
As defined in the tox documentation
(https://tox.readthedocs.io/en/latest/config.html#tox-environments),
environment with names ""pyNM"" have special meaning and implicitly define
the Python interpreter.

Environment names ci37 and ci38 don't have any special meaning and run
the default version of the interpreter. This results in that that both
environments use the same interpreter locally.

The PR changes the names of environments to make sure that tox creates a
virtual environment with the correct interpreter version.
",# Use tox.ini envlist
839,"don't reuse closed connections, refs #4451
",# Don't reuse closed connectionsFixes #2088
840,"fixed a typo; this was fixed before but seems like it has been lost in the refactor
differnt -> different",# Fix typo in config.py
841,"[pipeline] rewrite bert tests and fix some bugs
## 📌 Checklist before creating the PR

- [x] I have created an issue for this PR for traceability
- [x] The title follows the standard format: `[doc/gemini/tensor/...]: A concise description`
- [x] I have added relevant tags if possible for us to better distinguish different PRs


## 🚨 Issue number

> Link this PR to your issue with words like fixed to automatically close the linked issue upon merge
>
> e.g. `fixed #1234`, `closed #1234`, `resolved #1234`

closes #4372 

## 📝 What does this PR do?

> Summarize your work here.
> if you have any plots/diagrams/screenshots/tables, please attach them here.
This PR rewrites the bert pipeline test and fix some bugs


## 💥 Checklist before requesting a review

- [x] I have linked my PR to an issue ([instruction](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue))
- [x] My issue clearly describes the problem/feature/proposal, with diagrams/charts/table/code if possible
- [ ] I have performed a self-review of my code
- [ ] I have added thorough tests.
- [ ] I have added docstrings for all the functions/methods I implemented

## ⭐️ Do you enjoy contributing to Colossal-AI?

- [x] 🌝 Yes, I do.
- [ ] 🌚 No, I don't.

Tell us more if you don't enjoy contributing to Colossal-AI.
",# [shardformer] remove pipeline test
842,"🌐 Update Korean translation for `/docs/ko/docs/dependencies/index.md`
- update tip, warning and etc to compatible with mkdocs",# 🌐 Fix Korean translation in docs🌐 Fix Korean translation in docs
843,"Update 'create-pr' action in release workflow to latest
A [warning is shown](https://github.com/microsoft/DeepSpeed/actions/runs/8695213322/job/23845782048#step:10:31) when we do releases:

```
[deploy](https://github.com/microsoft/DeepSpeed/actions/runs/8695213322/job/23845782048)
Node.js 16 actions are deprecated. Please update the following actions to use Node.js 20: peter-evans/create-pull-request@v4. For more information see: https://github.blog/changelog/2023-09-22-github-actions-transitioning-from-node-16-to-node-20/.
```

To resolve this we update the create a pull request to `@v6`, see release notes [here](https://github.com/peter-evans/create-pull-request/releases)",# Update create-pull-request action
844,"Fix grammar selection involving Python 2
Fixes #757.",# Fix #1595
845,"Improvement to the SSTI RCE
Simple improvements to Jinja2 SSTI RCE to clean up the ""0""s in output and facilitate the command input field.",# Update README.md
846,"[extensions/openai] load extension settings via `settings.yaml`
Just utilize the `dotenv` package to load environment variables from the `.env` file. Since the `openai` extension relies on specific environment variables, manually entering them each time the server starts can be cumbersome. Using `.env` will significantly streamline this process and save valuable time.

## Checklist:

- [x] I have read the [Contributing guidelines](https://github.com/oobabooga/text-generation-webui/wiki/Contributing-guidelines).
","# OpenAI: add settings, lazy load embedding model"
847,"Consolidate logging
- Make log event handler work
- Move terminal event log into an addon
- Clean various log related errors and duplications
",# Log: Use controller.LogEntry
848,"Kuba docker
Inherits kuba's docker setup.  Importantly, adds a development container to docker-compose.yml

Adds venv to a discrete directory, rather than it being the parent directory of src/
",# Docker support
849,"Add Statically
Please tell me if the description is not adequate. (I think it is)

<!-- Thank you for taking the time to work on a Pull Request for this project! -->
<!-- To ensure your PR is dealt with swiftly please check the following: -->
- [x] My submission is formatted according to the guidelines in the [contributing guide](CONTRIBUTING.md)
- [x] My addition is ordered alphabetically
- [x] My submission has a useful description
- [x] The description does not end with punctuation
- [x] Each table column is padded with one space on either side
- [x] I have searched the repository for any relevant issues or pull requests
- [x] Any category I am creating has the minimum requirement of 3 items
- [x] All changes have been [squashed][squash-link] into a single commit

[squash-link]: <https://github.com/todotxt/todo.txt-android/wiki/Squash-All-Commits-Related-to-a-Single-Issue-into-a-Single-Commit>
",# Added Statically
850,"Style modals to match rest of UI
![image](https://user-images.githubusercontent.com/4073789/230220910-1f5f6253-0ae5-458a-9dd4-059d037816e9.png)
![image](https://user-images.githubusercontent.com/4073789/230221150-00559ffd-7415-403b-a7f7-84ac65ebad40.png)
![image](https://user-images.githubusercontent.com/4073789/230221021-d6889906-7247-4d7b-b59d-443897087ac8.png)![image](https://user-images.githubusercontent.com/4073789/230221236-fed0ab61-2ca8-4886-8824-dc34b12e7b50.png)

",# Update UI
851,"[embeddings] use cache_ratio instead of cuda_row_num
",# [cache-embedding] use cache ratio to control cache size
852,"Bug fixes for GCP (as of 2019-04-16T06:06:16Z)
##### SUMMARY
Bug fixes for GCP (as of 2019-04-16T06:06:16Z)

##### ISSUE TYPE
- Bugfix Pull Request

##### ADDITIONAL INFORMATION
```
This was generated by [Magic Modules](https://github.com/googlecloudplatform/magic-modules)
```",# Fix #56315 - Fixing the indentation in the gcp_compute_route.py
853,"[ZDF] added current test case
### Before submitting a *pull request* make sure you have:
- [x] At least skimmed through [adding new extractor tutorial](https://github.com/rg3/youtube-dl#adding-support-for-a-new-site) and [youtube-dl coding conventions](https://github.com/rg3/youtube-dl#youtube-dl-coding-conventions) sections
- [x] [Searched](https://github.com/rg3/youtube-dl/search?q=is%3Apr&type=Issues) the bugtracker for similar pull requests
- [x] Checked the code with [flake8](https://pypi.python.org/pypi/flake8)

### In order to be accepted and merged into youtube-dl each piece of code must be in public domain or released under [Unlicense](http://unlicense.org/). Check one of the following options:
- [ ] I am the original author of this code and I am willing to release it under [Unlicense](http://unlicense.org/)
- [x] I am not the original author of this code but it is in public domain or released under [Unlicense](http://unlicense.org/) (provide reliable evidence)

### What is the purpose of your *pull request*?
- [x] Bug fix
- [x] Improvement
- [ ] New extractor
- [ ] New feature

---

### Description of your *pull request* and other information

Other tests were no longer available (404) so I added a new/current one
",# [zdf] fix extractor test
854,"added option to remove conversations
Also solve a simple bug in line 121",# Add delete conversation button
855,"Fix intersphinx_mapping config for Python standard library
Currently, the [intersphinx_mapping](https://www.sphinx-doc.org/en/master/usage/extensions/intersphinx.html#confval-intersphinx_mapping) for `python` is set to the Requests documentation. This prevents some references from being linked to the Python standard library documentation.

This PR reverts the configuration change made in #5236 and sets the URL for `python` back to https://docs.python.org/3/ as (shown in the example in the intersphinx_mapping documentation).

Some effects of this change can be seen on the Developer Interface page.

Before:

![image](https://user-images.githubusercontent.com/1156625/73128655-84969600-3fa0-11ea-9e43-ffb8e5c7886f.png)

After:

![image](https://user-images.githubusercontent.com/1156625/73128660-a6901880-3fa0-11ea-87a0-012b185b605f.png)
",# Update docs conf.py
856,"fix #1608
",# Fix queue bug
857,"Fix ffmpeg wrong folder format and douyu discard output folder
```
 python3 you-get -o dow http://www.douyu.com/611813
Site:       douyu.com
Title:      台妹髮型師～美髮院直播
Type:       Flash video (video/x-flv)
Size:       inf MiB (inf Bytes)

Downloading streaming content with FFmpeg, press q to stop recording...
ffmpeg -y -re -i http://hdla.douyucdn.cn/live/611813re7VjmtaHO.flv?wsAuth=27185bfe7901f7d65f88834a427ef3dd&token=web-0-611813-260fc67c9f304fe923401dc7d0406014&logo=0&expire=0 -c copy -bsf:a aac_adtstoasc dow/台妹髮型師～美髮院直播.flv
```

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/soimort/you-get/1342)

<!-- Reviewable:end -->
",# fix bug of douyu tv
858,"template: use dashes instead of underscores for neo4j-cypher package and path in readme
Minimal readme template update

underscores didn't work, dashes do

",# Fix typo in README.md
859,"Update onboarding to Laravel 11
Not to be merged before March 12th.",# Update Laravel docs
860,"Fix wheel dependencies for Python 2
Fix issues like #287 where `pathlib` wasn't installed on Python 2
",# Travis CI: Use pip install -r requirements.txt
861,"Style fixes in comments
-make the comment style more consistent by replacing Nothing with N/A
-fix typo in sherlock.py",# Update N/A to Nothing
862,"build(deps): bump beautifulsoup4 from 4.12.2 to 4.12.3
Bumps [beautifulsoup4](https://www.crummy.com/software/BeautifulSoup/bs4/) from 4.12.2 to 4.12.3.


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=beautifulsoup4&package-manager=pip&previous-version=4.12.2&new-version=4.12.3)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",# Update beautifulsoup4 to 4.12.3
863,"Make AMD/ROCm apex install to /blob to save test/compile time.
- Save time on AMD unit tests (despite being only run in CI nightly currently) by pre-compiling and re-using the (AMD/ROCm) apex install.  
- This saves ~15 minutes per build of the AMD unit tests.",# [amd-mi200] Fix apex install
864,"Ignore a domain in allowed_domains with port and issue a warning
Fix for issue #50, see discussion there for a rationale.

Note that this PR is based on PR #4410 and would make PR #3198 obsolete.

Fixes #50, closes #3198",# [MRG+1] Fix #1055
865,"Generate all subsequences using backtracking
",# Added a new problem
866,"recurrent Layers: Fix doc strings on default activations
* The default activation for input is `tanh`, not `linear`, as
  the previous doc string might mislead readers to think.
* Also clarify that the default activation for recurrent is
  `hard_sigmoid`.",# Update recurrent.py
867,"Fix CI by running on Python 3.11
aiohttp doesn't yet support 3.12",# Pin Python version to 3.11
868,"tests - fetchMarketLeverageTiers fix
",# test: skip fetchMarketLeverageTiers for spot markets
869,"📝 Add german blog post (Domain-driven Design mit Python und FastAPI)
I have written a blog post about domain driven design with Python and FastAPI:

https://www.actidoo.com/de/blog/python-fastapi-domain-driven-design

_Domain-driven Design mit Python und FastAPI_

I would be happy about feedback.",# Add German article about FastAPI and Domain-driven Design
870,"Minor docs typo fixes
# What does this PR do?
Just a few typo fixes in the docs.

## Before submitting
- [x] This PR fixes a typo or improves the docs (you can dismiss the other checks if that's the case).

## Who can review?
@sgugger",# Fix typos
871,"docs fix typo in example ondemand_loader_tool
Fixed typo in an example code in docs: `on_demand_loader_tool` -> `ondemand_loader_tool` to make it work",# Fix typo in docs
872,"feat(core): Add stream data return and reception
1. add file: utils/steam_pipe.py
2. add demo: samples/flask_web_api.py
3. Other core code modifications, Add and use the StreamPipe class at night
4. Add flask library to requirements


**Features**
<!-- Clear and direct description of the submit features. -->
<!-- If it's a bug fix, please also paste the issue link. -->

- xx
- yy
    
**Feature Docs**
<!-- The RFC, tutorial, or use cases about the feature if it's a pretty big update. If not, there is no need to fill. -->

**Influence**
Not affecting other functions

**Result**
<!-- The screenshot/log of unittest/running result -->
![4b5a6673dfb9d9fe06dd0272ff89d39](https://github.com/geekan/MetaGPT/assets/50728022/c14a4cd6-990f-47d2-bb44-5d4367f4a416)
Download this MD file here
![e9207c3f6e6c4bf6edb7b95736221a7](https://github.com/geekan/MetaGPT/assets/50728022/c9094d75-57a3-4d1a-927c-cd4dd6c098e0)


**Other**
<!-- Something else about this PR. -->",# [example] Stream output via API
873,"Feat re-commit zhipu-api due to merge mistake
**Features**
<!-- Clear and direct description of the submit features. -->
<!-- If it's a bug fix, please also paste the issue link. -->

- re-commit zhipu-api due to merge mistake
    
**Feature Docs**
<!-- The RFC, tutorial, or use cases about the feature if it's a pretty big update. If not, there is no need to fill. -->

**Influence**
<!-- Tell me the impact of the new feature and I'll focus on it.  -->

**Result**
<!-- The screenshot/log of unittest/running result -->

```
(metagpt_v2) MacBook-Pro:MetaGPT xxx$ pytest tests/metagpt/provider/test_zhipuai_api.py
============================================================================== test session starts ===============================================================================
collected 2 items

tests/metagpt/provider/test_zhipuai_api.py ..                                                                                                                              [100%]

=============================================================================== 2 passed in 0.24s ================================================================================
(metagpt_v2) MacBook-Pro:MetaGPT xxx$ pytest tests/metagpt/provider/zhipuai/test_*
============================================================================== test session starts ===============================================================================
collected 2 items

tests/metagpt/provider/zhipuai/test_async_sse_client.py .                                                                                                                  [ 50%]
tests/metagpt/provider/zhipuai/test_zhipu_model_api.py .                                                                                                                   [100%]

=============================================================================== 2 passed in 0.35s ================================================================================
```

**Other**
<!-- Something else about this PR. -->",# fix zhipuai api
874,"fix get_raw_path parsing
<!-- Please refer to the contribution guidelines before raising a PR: https://github.com/localstack/localstack/blob/master/CONTRIBUTING.md -->

<!-- Why am I raising this PR? Add context such as related issues, PRs, or documentation. -->
## Motivation
This PR would fix #8928 and #8924. We had an issue with parsing the WSGI environ `RAW_URI`, because an HTTP request can also contain a full URL and not only an absolute path. See the RFC: https://www.ietf.org/rfc/rfc2616.txt
```
   To allow for transition to absoluteURIs in all requests in future
   versions of HTTP, all HTTP/1.1 servers MUST accept the absoluteURI
   form in requests, even though HTTP/1.1 clients will only generate
   them in requests to proxies.
```

We would then have more than the path with `get_raw_path`, which lead to issue down the road when trying to match in our router.

<!-- What notable changes does this PR make? -->
## Changes
We now thanks to @dfangl parse the `RAW_URI` variable with `urllib.parse.urlparse` to then only get the `path` part of the `RAW_URI` in case there's more. 
Added a unit test covering this use case.

<!-- The following sections are optional, but can be useful! 

## Testing

Description of how to test the changes

## TODO

What's left to do:

- [ ] ...
- [ ] ...

-->

",# fix get_raw_path for WSGI requests
